form	lemma	POS	morph
ག་	ག་	PRON
པདྨ་	པདྨ་	NOUN
རྒྱལ་པོ་	རྒྱལ་པོ་	NOUN
འི་	གི་	PART
དབང་	དབང་	NOUN
བསྐུར་	བསྐུར་	NO_POS
གྱི་	གི་	PART
ཟིན་བྲིས་	ཟིན་བྲིས་	OTHER
དང་	དང་	NO_POS
རྗེས་སུ་	རྗེས་སུ་	OTHER
མཐུན་པ་	མཐུན་པ་	VERB
འི་	གི་	PART
ཆོ་ག་	ཆོ་ག་	NOUN
བཀླག་	བཀླག་	VERB
ཆོག་	ཆོག་	VERB
ཏུ་	ལ་	PART
བཀོད་པ་	བཀོད་པ་	VERB
བྱྀན་		NON_WORD
རླབས་	རླབས་	OTHER
རྒྱུན་	རྒྱུན་	NOUN
འབེབས་	འབེབས་	VERB
།		PUNCT
ཡང་གཏེར་	ཡང་གཏེར་	NO_POS
ཐུགས་རྗེ་	ཐུགས་རྗེ་	NOUN
ཆེན་པོ་	ཆེན་པོ་	ADJ
པདྨ་	པདྨ་	NOUN
འི་	གི་	PART
རྒྱལ་པོ་	རྒྱལ་པོ་	NOUN
འི་	གི་	PART
དོན་	དོན་	NOUN
དབང་	དབང་	NOUN
འབྲིང་པོ་	འབྲིང་པོ་	ADJ
དང་	དང་	NO_POS
གཏོ་	གཏོ་	VERB
དབང་བསྡུ་	དབང་བསྡུ་	NO_POS
ས་པ་	ས་པ་	PART
ཁོལ་	ཁོལ་	OTHER
ཕྱུང་	ཕྱུང་	VERB
བཀླགས་	བཀླགས་	NO_POS
ཆོག་	ཆོག་	VERB
ཏུ་	ལ་	PART
བཀོད་པ་	བཀོད་པ་	VERB
།		PUNCT
བླ་	བླ་	NOUN
རྫོགས་	རྫོགས་	VERB
ཐུགས་	ཐུགས་	NOUN
གསུམ་	གསུམ་	NUM
འདུས་པ་	འདུས་པ་	VERB
འི་	གི་	PART
ཟབ་	ཟབ་	VERB
དོན་	དོན་	NOUN
ཀུན་	ཀུན་	DET
འདྲིལ་	འདྲིལ་	NO_POS
ཡིད་བཞིན་	ཡིད་བཞིན་	OTHER
ནོར་བུ་	ནོར་བུ་	NOUN
མཐོང་བ་	མཐོང་བ་	VERB
རང་གྲོལ་	རང་གྲོལ་	NOUN
ལས་རིམ་པ་	ལས་རིམ་པ་	OTHER
གཉིས་པ་	གཉིས་པ་	NUM
རྫོགས་པ་	རྫོགས་པ་	VERB
ཆེན་པོ་	ཆེན་པོ་	ADJ
སེམས་ཉིད་	སེམས་ཉིད་	NOUN
གཅེ་	གཅེ་	NO_POS
ར་	ལ་	PART
མཐོང་	མཐོང་	VERB
གི་	གི་	PART
ཁྲིད་	ཁྲིད་	VERB
།		PUNCT
