form	lemma	POS	morph
ཁ་	ཁ་	PRON
བླ་མ་	བླ་མ་	NOUN
འི་	གི་	PART
ཐུགས་	ཐུགས་	NOUN
སྒྲུབ་	སྒྲུབ་	VERB
ཡིད་བཞིན་	ཡིད་བཞིན་	OTHER
ནོར་བུ་	ནོར་བུ་	NOUN
ལ་	ལ་	ADP
ས་	གིས་	PART
།		PUNCT
འཆི་མེད་	འཆི་མེད་	NOUN
ཚེ་	ཚེ་	NOUN
འི་	གི་	PART
དབང་	དབང་	NOUN
སྐུར་བ་	སྐུར་བ་	NOUN
འི་	གི་	PART
ལག་ལེན་	ལག་ལེན་	NOUN
ཡིད་བཞིན་	ཡིད་བཞིན་	OTHER
དཔལ་	དཔལ་	OTHER
འཛིན་	འཛིན་	VERB
།		PUNCT
གཏེར་	གཏེར་	NOUN
གས་	གསའ་	NO_POS
ར་	ལ་	PART
འཁོར་བ་	འཁོར་བ་	NOUN
དོང་	དོང་	VERB
སྤྲུགས་	སྤྲུགས་	VERB
བརྒྱུད་	བརྒྱུད་	NO_POS
འདེབས་	འདེབས་	VERB
།		PUNCT
འཕགས་པ་	འཕགས་པ་	VERB
ཐུགས་རྗེ་	ཐུགས་རྗེ་	NOUN
ཆེན་པོ་	ཆེན་པོ་	ADJ
འཁོར་བ་	འཁོར་བ་	NOUN
དོང་	དོང་	VERB
སྤྲུགས་	སྤྲུགས་	VERB
ཀྱི་	གི་	PART
བསྙེན་སྒྲུབ་	བསྙེན་སྒྲུབ་	NOUN
ཕྲིན་ལས་	ཕྲིན་ལས་	NOUN
དང་	དང་	NO_POS
བཅས་པ་	བཅས་པ་	VERB
གཞན་ཕན་	གཞན་ཕན་	OTHER
མཁའ་ཁྱབ་	མཁའ་ཁྱབ་	NOUN
།		PUNCT
